purchase_date;seeding_date;source;number;genus;species;subspecies;variety;cultivar;synonym;form;ex;info;description;;;;;;;;;;;;;;
;;Vladimir Nesuta;C 128;Lithops ;otzeniana;;;;;;;;;;;;;;;;;;;;;;
;;Vladimir Nesuta;C 350;Lithops ;otzeniana;;;;;;;;;;;;;;;;;;;;;;
;;Vladimir Nesuta;C 101;Lithops ;ruschiorum;;;;;;;;;;;;;;;;;;;;;;
;;Vladimir Nesuta;C 241;Lithops ;ruschiorum;;;;;;;;;;;;;;;;;;;;;;
;;Vladimir Nesuta;C 102;Lithops ;ruschiorum;;nellii;;;;;;;;;;;;;;;;;;;;
;;Vladimir Nesuta;;Lithops ;salicola;;;MACULATA;;GREY;;;;;;;;;;;;;;;;;
;;Vladimir Nesuta;;Lithops ;slicola;;;SATO 'S VIOLET;BACCHUS;;;;;;;;;;;;;;;;;;
;;Vladimir Nesuta;;Lithops ;schwantesii;;rugosa;SHAGREEN;;;;;;;;;;;;;;;;;;;
;;Vladimir Nesuta;C 388;Lithops ;steineckeana;;;;;;;;;;;;;;;;;;;;;;
;;Vladimir Nesuta;C 345A;Lithops ;terricolor;;;SPECKED GOLD;;;;;;;;;;;;;;;;;;;
;;Vladimir Nesuta;C 132A;Lithops ;terricolor;;;SILWER SPURT'S;;;;;;;;;;;;;;;;;;;
;;Vladimir Nesuta;C 132B;Lithops ;terricolor;;;STEAMY WINDOWS;;;;;;;;;;;;;;;;;;;
;;Vladimir Nesuta;C 281A;Lithops ;vallis-mariae;;;WALLEY GIRL;;;;;;;;;;;;;;;;;;;
;;Vladimir Nesuta;C 167;Lithops ;vallis-mariae;;;MARGARETHAE;;;;;;;;;;;;;;;;;;;
;;Vladimir Nesuta;C 238;Lithops ;vallis-mariae;;;MARGARETHAE;;;;;;;;;;;;;;;;;;;
;;Vladimir Nesuta;;Lithops ;verruculosa;;;ROSE OF TEXAS;;;;;;;;;;;;;;;;;;;
;;Vladimir Nesuta;C 054;Lithops ;aucampiae;euniceae;fluminalis;;;;;;;;;;;;;;;;;;;;
;;Vladimir Nesuta;C 368;Lithops ;bromfieldii;;;;;;;;;;;;;;;;;;;;;;
;;Vladimir Nesuta;PV 1039;Lithops ;helmutii;;;;;;;;;;;;;;;;;;;;;;
;;Vladimir Nesuta;C 142B;Lithops ;hookeri;;;;;;;;;;;;;;;;;;;;;;
;;Vladimir Nesuta;C 370A;Lithops ;karasmontana;eberlanzii;;AVOCADOCREAM;;;;;;;;;;;;;;;;;;;
;;Vladimir Nesuta;C 341;Lithops ;lesliei;;;;;KIMBERLII;;;;;;;;;;;;;;;;;
;;Vladimir Nesuta;LMP 65;Lithops ;lesliei;;;;;KIMBERLII;;;;;;;;;;;;;;;;;
;;Vladimir Nesuta;C 306;Lithops ;pseudotruncatella;;archerae;;;;;;;;;;;;;;;;;;;;
;;Vladimir Nesuta;C 143B;Lithops ;schwantesii;;;;;TRIEBNERI;;;;;;;;;;;;;;;;;
